utt_id,audio_path,speaker_id,locale,register,context,text,normalized_text,protected_context,review_status
ci_greeting_001,wav/ci_greeting_001.wav,speaker_01,fr-CI,natural-ivorian,greeting,"Akwaba, bienvenue sur Jùlaba.","Akwaba, bienvenue sur Jùlaba.",false,pending-recording
ci_greeting_002,wav/ci_greeting_002.wav,speaker_01,fr-CI,natural-ivorian,greeting,"Bonjour, Tata est là pour vous accompagner.","Bonjour, Tata est là pour vous accompagner.",false,pending-recording
ci_greeting_003,wav/ci_greeting_003.wav,speaker_01,fr-CI,natural-ivorian,greeting,"Bonsoir, nous allons avancer étape par étape.","Bonsoir, nous allons avancer étape par étape.",false,pending-recording
ci_greeting_004,wav/ci_greeting_004.wav,speaker_01,fr-CI,natural-ivorian,greeting,Bienvenue dans votre espace marchand.,Bienvenue dans votre espace marchand.,false,pending-recording
ci_greeting_005,wav/ci_greeting_005.wav,speaker_01,fr-CI,natural-ivorian,greeting,Bienvenue dans votre espace producteur.,Bienvenue dans votre espace producteur.,false,pending-recording
ci_greeting_006,wav/ci_greeting_006.wav,speaker_01,fr-CI,natural-ivorian,greeting,Bienvenue dans votre espace coopérative.,Bienvenue dans votre espace coopérative.,false,pending-recording
ci_greeting_007,wav/ci_greeting_007.wav,speaker_01,fr-CI,natural-ivorian,greeting,"Je suis prête, dites-moi ce que vous voulez faire.","Je suis prête, dites-moi ce que vous voulez faire.",false,pending-recording
ci_greeting_008,wav/ci_greeting_008.wav,speaker_01,fr-CI,natural-ivorian,greeting,On commence tranquillement.,On commence tranquillement.,false,pending-recording
ci_greeting_009,wav/ci_greeting_009.wav,speaker_01,fr-CI,natural-ivorian,greeting,Merci d'utiliser Jùlaba.,Merci d'utiliser Jùlaba.,false,pending-recording
ci_greeting_010,wav/ci_greeting_010.wav,speaker_01,fr-CI,natural-ivorian,greeting,"Votre activité compte, et chaque étape est importante.","Votre activité compte, et chaque étape est importante.",false,pending-recording
ci_navigation_001,wav/ci_navigation_001.wav,speaker_01,fr-CI,natural-ivorian,navigation,Voici l'accueil de votre espace.,Voici l'accueil de votre espace.,false,pending-recording
